BASE_CASE_15_PROP_PERMX.GRDECL,BASE_CASE_16_PROP_PERMX.GRDECL,BASE_CASE_17_PROP_PERMX.GRDECL,BASE_CASE_18_PROP_PERMX.GRDECL,BASE_CASE_19_PROP_PERMX.GRDECL
83.386,84.386,85.386,86.386,87.386
93.5038,93.5038,93.5038,93.5038,93.5038
49.0505,49.0505,49.0505,49.0505,49.0505
33.8995,33.8995,33.8995,33.8995,33.8995
25.032,25.032,25.032,25.032,25.032
19.2633,19.2633,19.2633,19.2633,19.2633
16.3762,16.3762,16.3762,16.3762,16.3762
12.7662,12.7662,12.7662,12.7662,12.7662
24.9389,24.9389,24.9389,24.9389,24.9389
18.1377,18.1377,18.1377,18.1377,18.1377
19.1905,19.1905,19.1905,19.1905,19.1905
25.5552,25.5552,25.5552,25.5552,25.5552
33.5018,33.5018,33.5018,33.5018,33.5018
16.9171,16.9171,16.9171,16.9171,16.9171
8.47982,8.47982,8.47982,8.47982,8.47982
5.09788,5.09788,5.09788,5.09788,5.09788
1.5741,1.5741,1.5741,1.5741,1.5741
1.24492,1.24492,1.24492,1.24492,1.24492
1.61209,1.61209,1.61209,1.61209,1.61209
1.11665,1.11665,1.11665,1.11665,1.11665
1.80144,1.80144,1.80144,1.80144,1.80144
3.36773,3.36773,3.36773,3.36773,3.36773
1.79842,1.79842,1.79842,1.79842,1.79842
1.38286,1.38286,1.38286,1.38286,1.38286
36.764,36.764,36.764,36.764,36.764
36.6532,36.6532,36.6532,36.6532,36.6532
36.6752,36.6752,36.6752,36.6752,36.6752
25.2692,25.2692,25.2692,25.2692,25.2692
11.8838,11.8838,11.8838,11.8838,11.8838
18.29,18.29,18.29,18.29,18.29
18.2986,18.2986,18.2986,18.2986,18.2986
10.4333,10.4333,10.4333,10.4333,10.4333
13.8506,13.8506,13.8506,13.8506,13.8506
15.7813,15.7813,15.7813,15.7813,15.7813
14.0042,14.0042,14.0042,14.0042,14.0042
14.0936,14.0936,14.0936,14.0936,14.0936
24.9845,24.9845,24.9845,24.9845,24.9845
9.02196,9.02196,9.02196,9.02196,9.02196
3.43948,3.43948,3.43948,3.43948,3.43948
2.88257,2.88257,2.88257,2.88257,2.88257
1.28207,1.28207,1.28207,1.28207,1.28207
1.33105,1.33105,1.33105,1.33105,1.33105
